x(um),y(um),z(um)
-0.318772,-1.655815,0.01983169
-0.05818547,-2.107065,0.01982051
-0.3198091,-2.558263,0.04990179
-0.06545264,-3.010824,0.03845091
-0.3313676,-3.457729,0.0591783
-0.0796712,-3.910446,0.04029415
-0.3415683,-4.354447,0.07829022
-0.08325094,-4.806707,0.04970473
-0.3422139,-5.255274,0.04902513
-1.105111,-1.210355,0.03857562
-0.8403005,-1.656865,0.04998987
-1.096484,-2.108583,0.07393754
-0.839099,-2.554338,0.07385258
-1.101012,-3.002181,0.09837451
-0.8495174,-3.450373,0.1056555
-1.121697,-3.894444,0.1364376
-0.8631289,-4.354187,0.1301659
-1.12401,-4.806241,0.1300218
-0.8630652,-5.257735,0.07745513
-1.116567,-5.706612,0.03966231
-1.891404,-0.7730194,0.04010469
-1.625093,-1.217304,0.05921306
-1.877739,-1.669759,0.1060141
-1.615292,-2.111592,0.09891781
-1.8865,-2.562183,0.0809442
-1.626863,-3.011876,0.08066969
-1.917156,-3.386333,0.1952351
-1.662702,-3.906432,0.1197913
-1.911464,-4.33802,0.1195316
-1.651455,-4.812265,0.1367721
-1.899875,-5.270022,0.107105
-1.63439,-5.715117,0.05963321
-1.888334,-6.168912,0.03926745
-2.669437,-0.3281107,0.04935627
-2.406867,-0.777908,0.07798161
-2.667352,-1.229753,0.1299253
-2.398413,-1.68351,0.1365201
-2.679209,-2.14602,0.1197948
-2.355874,-2.626587,0.1954461
-2.701162,-2.99554,0.579042
-2.409184,-3.501171,0.5787473
-2.635978,-3.894314,0.5782853
-2.488899,-4.377746,0.1950634
-2.668081,-4.816371,0.08216616
-2.413631,-5.276489,0.1008762
-2.670474,-5.727304,0.07550243
-2.407355,-6.175004,0.05102381
-2.667219,-6.627117,0.0203103
-3.187399,-0.3281653,0.04890244
-3.449876,-0.7780533,0.07738235
-3.189273,-1.229745,0.1297968
-3.458104,-1.683553,0.1365275
-3.177274,-2.145841,0.1195694
-3.500363,-2.626113,0.1951157
-3.154958,-2.995423,0.5782206
-3.446812,-3.501153,0.5780119
-3.219941,-3.894149,0.5781822
-3.36675,-4.377598,0.1948957
-3.18759,-4.816393,0.08211208
-3.442129,-5.276595,0.1008519
-3.18523,-5.727324,0.07550493
-3.448241,-6.175073,0.05103087
-3.188291,-6.627148,0.02033112
-3.965389,-0.7732558,0.03968859
-4.231556,-1.217552,0.05942151
-3.978736,-1.66996,0.1068316
-4.241116,-2.111734,0.1005994
-3.969797,-2.562101,0.08202631
-4.229441,-3.012043,0.08184317
-3.938957,-3.386481,0.1948564
-4.19311,-3.906368,0.1196045
-3.944007,-4.337908,0.1196015
-4.204098,-4.81232,0.1365089
-3.955838,-5.270129,0.1069499
-4.221247,-5.715193,0.05941044
-3.967211,-6.168998,0.03922984
-4.751528,-1.210691,0.03906223
-5.01621,-1.657207,0.05066916
-4.759943,-2.108881,0.07504567
-5.017231,-2.554729,0.07498075
-4.755273,-3.00251,0.1002306
-5.006474,-3.450708,0.1064643
-4.734042,-3.894547,0.1363984
-4.992583,-4.354437,0.1296288
-4.731623,-4.806366,0.1295213
-4.99261,-5.257854,0.07702398
-4.738996,-5.706784,0.03935162
-5.537709,-1.656323,0.02010829
-5.798143,-2.107662,0.02010442
-5.5365,-2.558747,0.05059346
-5.790681,-3.011312,0.03899156
-5.524606,-3.458148,0.05923949
-5.776153,-3.910868,0.03967083
-5.514098,-4.354807,0.07745219
-5.772449,-4.807111,0.04929697
-5.513482,-5.255529,0.0489466
