x(um),y(um),z(um)
-0.2218138,-1.578228,0.01738766
0.07047205,-2.091287,0.01814061
-0.2148262,-2.612462,0.06634676
0.133571,-3.054633,0.1864421
-0.0936451,-3.525016,0.4203683
0.2224186,-3.981091,0.605462
-0.06303218,-4.454239,0.7969722
0.2285134,-4.949764,0.8076466
-0.06032643,-5.448205,0.8110046
-1.021954,-1.030461,0.1698702
-0.8164358,-1.557527,0.06100687
-1.122561,-2.084508,0.05159274
-0.8240423,-2.607472,0.05615056
-1.076788,-3.15008,0.2197665
-0.6786028,-3.55392,0.4446914
-0.9486225,-4.005333,0.693637
-0.637519,-4.454449,0.8651375
-0.9207159,-4.943048,0.8695486
-0.6353244,-5.441945,0.8040263
-0.9044485,-5.925681,0.6166043
-1.78728,-0.4720196,0.5462269
-1.549198,-0.9809363,0.3879687
-1.872425,-1.469681,0.4145514
-1.721494,-2.022735,0.2049988
-1.944005,-2.613362,0.2235944
-1.698531,-3.039732,0.2316006
-1.899552,-3.494174,0.4537252
-1.55025,-3.903803,0.5257478
-1.851459,-4.425507,0.5271627
-1.46522,-4.897015,0.69906
-1.72222,-5.356739,0.4507481
-1.455868,-5.878497,0.4301462
-1.748569,-6.309764,0.1928463
-2.627862,0.02942853,0.6996806
-2.345936,-0.4714981,0.7187708
-2.637614,-0.9642685,0.7994072
-2.405502,-1.465662,0.6504354
-2.622958,-2.039489,0.495331
-2.444266,-2.551778,0.4374957
-2.673688,-3.013502,0.5704834
-2.416305,-3.459115,0.5777678
-2.669449,-3.897757,0.5777717
-2.380893,-4.327744,0.4537677
-2.674666,-4.729046,0.231736
-2.269072,-5.213204,0.2219654
-2.612781,-5.703164,0.05756253
-2.304533,-6.228462,0.06855836
-2.613714,-6.735145,0.01877158
-3.205176,0.0313962,0.6961055
-3.491404,-0.4671584,0.7132806
-3.204864,-0.9622021,0.7981625
-3.441702,-1.461733,0.6499643
-3.22906,-2.037708,0.496119
-3.410025,-2.549204,0.4371996
-3.180613,-3.013494,0.5657533
-3.437821,-3.459337,0.5670565
-3.184013,-3.897989,0.5715116
-3.469037,-4.327701,0.4389729
-3.166406,-4.729649,0.2241264
-3.567279,-5.217213,0.2049682
-3.214866,-5.705014,0.05086989
-3.518888,-6.23336,0.05966507
-3.203522,-6.737802,0.01671491
-4.04996,-0.4612597,0.5374975
-4.293835,-0.9699168,0.381913
-3.974129,-1.461381,0.4128901
-4.128328,-2.014631,0.2056901
-3.909144,-2.606233,0.2252717
-4.156315,-3.035257,0.2263334
-3.954781,-3.493783,0.4395346
-4.305748,-3.906403,0.4995263
-4.001022,-4.429211,0.4993206
-4.387718,-4.904937,0.6579449
-4.12017,-5.363874,0.4177686
-4.382118,-5.887743,0.3923228
-4.077883,-6.318767,0.1702102
-4.821477,-1.018841,0.1650858
-5.030419,-1.545544,0.06017762
-4.726995,-2.073925,0.05138917
-5.027575,-2.597181,0.05142147
-4.777772,-3.14414,0.2066084
-5.178787,-3.55414,0.4161629
-4.910124,-4.012242,0.6553108
-5.222246,-4.466596,0.8099787
-4.9363,-4.955413,0.8130039
-5.217638,-5.454771,0.7354292
-4.939789,-5.937317,0.5580571
-5.623788,-1.567096,0.01644518
-5.916733,-2.076949,0.01655955
-5.63709,-2.60066,0.06036258
-5.987625,-3.045426,0.1676466
-5.763981,-3.524463,0.3867444
-6.081173,-3.988888,0.5503446
-5.795183,-4.467108,0.7303805
-6.083889,-4.964514,0.7222551
-5.792563,-5.462443,0.7249423
