x,y,z
-0.03057899,-1.45875,0.1712544
0.2582281,-1.959226,0.1741547
-0.02818353,-2.460941,0.1397663
0.261421,-2.962826,0.1507014
-0.02723108,-3.465262,0.1305811
0.2624461,-3.967433,0.1493326
-0.02711113,-4.469925,0.1384727
0.2624941,-4.971702,0.1633924
-0.02713035,-5.474121,0.1610907
-0.8978283,-0.9536644,0.1362485
-0.608091,-1.455752,0.1320562
-0.8971469,-1.95773,0.104667
-0.6072119,-2.460185,0.1094729
-0.8969016,-2.962688,0.09685637
-0.6068209,-3.465182,0.1069905
-0.8967955,-3.967824,0.1009898
-0.6066277,-4.470106,0.1137012
-0.8964419,-4.972809,0.1107377
-0.6064278,-5.474671,0.1332134
-0.8964136,-5.977008,0.1417184
-1.767781,-0.4495233,0.1259951
-1.477373,-0.9519191,0.1098983
-1.767425,-1.454243,0.08842555
-1.477162,-1.957061,0.08743293
-1.76746,-2.45973,0.08439501
-1.477168,-2.962475,0.08899953
-1.767433,-3.465239,0.08865596
-1.477032,-3.967831,0.09050205
-1.766971,-4.470736,0.08509956
-1.476485,-4.973085,0.09263599
-1.766402,-5.475906,0.09490281
-1.476207,-5.977623,0.1215315
-1.766869,-6.478825,0.1445823
-2.638324,0.05260858,0.1423889
-2.34822,-0.4491152,0.11275
-2.638268,-0.9513015,0.08851361
-2.348002,-1.454053,0.08031391
-2.638361,-1.956799,0.07876517
-2.348048,-2.459628,0.0838386
-2.638387,-2.962458,0.08630215
-2.347991,-3.465226,0.08650378
-2.638069,-3.96817,0.07829075
-2.347502,-4.47083,0.07504728
-2.637408,-4.973957,0.06865479
-2.34673,-5.476314,0.08099262
-2.636976,-5.978519,0.09842391
-2.346421,-6.479142,0.1354027
-2.637445,-6.977718,0.1782047
-3.218791,0.0528879,0.1412366
-3.509055,-0.4488639,0.1113862
-3.218972,-0.9511932,0.08830883
-3.509352,-1.453927,0.0798333
-3.219033,-1.956729,0.07848047
-3.509396,-2.459594,0.08021554
-3.219036,-2.962435,0.08295383
-3.50925,-3.465366,0.07628343
-3.218774,-3.968204,0.07141709
-3.50884,-4.471281,0.06177776
-3.218222,-4.974169,0.06226479
-3.508342,-5.477043,0.07323342
-3.217272,-5.978795,0.09705348
-3.507272,-6.479545,0.1375412
-3.215435,-6.977726,0.1816753
-4.089572,-0.4492021,0.124708
-4.380023,-0.9517467,0.1111267
-4.089903,-1.454113,0.08929776
-4.380208,-1.956912,0.08789672
-4.090011,-2.459636,0.08015563
-4.380292,-2.962531,0.07898811
-4.089955,-3.465387,0.07238254
-4.380185,-3.968429,0.06905103
-4.089738,-4.471439,0.06331685
-4.379844,-4.974343,0.0743722
-4.089046,-5.47709,0.08379038
-4.378662,-5.97886,0.1217383
-4.086822,-6.479465,0.1516136
-4.959404,-0.9537705,0.1399516
-5.248943,-1.45587,0.1383355
-4.960069,-1.957728,0.1080665
-5.249952,-2.460181,0.1113593
-4.960663,-2.962761,0.09003657
-5.250704,-3.465644,0.09711932
-4.960754,-3.968591,0.08276283
-5.250583,-4.471397,0.1008058
-4.960109,-4.97433,0.09815012
-5.249311,-5.476112,0.136646
-4.958405,-5.978287,0.1507996
-5.826164,-1.45895,0.1801159
-6.114758,-1.959428,0.1850368
-5.828709,-2.461073,0.1465788
-6.118205,-2.963005,0.1580877
-5.830274,-3.465803,0.1300211
-6.119609,-3.968411,0.1539152
-5.829907,-4.47133,0.1390814
-6.118442,-4.973171,0.1798487
-5.827882,-5.475484,0.1800421
