x(um),y(um),z(um)
146.242,74.3,1
183.785,51.696,1
219.166,76.462,1
256.906,54.054,1
295.825,72.924,1
331.206,52.875,1
371.305,74.104,1
410.224,50.516,1
447.964,70.566,1
108.305,141.328,1
146.045,118.92,6
184.964,141.328,14
221.525,118.92,10
258.085,136.61,34
297.005,117.74,33
335.924,138.969,24
372.484,117.74,14
410.224,137.79,17
447.964,115.382,3
486.883,135.431,1
71.745,208.552,1
108.305,186.144,1
146.045,208.552,16
186.144,186.144,27
219.166,205.014,48
259.265,180.247,54
298.184,201.476,62
337.103,180.247,47
377.202,202.655,46
416.121,183.785,28
450.323,201.476,24
486.883,180.247,5
525.802,202.655,1
34.005,275.776,1
71.745,253.368,3
108.305,276.955,16
147.225,254.547,18
184.964,272.238,41
217.987,249.83,58
258.085,272.238,66
299.363,246.292,66
338.282,271.058,66
381.919,247.471,63
418.48,266.341,55
452.681,246.292,29
488.062,267.52,16
524.623,247.471,3
564.721,266.341,2
35.185,318.233,1
71.745,339.462,8
107.126,315.874,21
146.045,340.641,33
183.785,317.054,54
216.807,340.641,75
259.265,318.233,73
299.363,344.179,79
340.641,320.592,70
380.74,337.103,59
418.48,313.516,53
456.219,335.924,38
493.959,312.336,23
526.982,333.565,4
565.901,312.336,3
72.924,384.278,5
111.844,401.968,7
144.866,384.278,27
186.144,400.789,39
215.628,385.457,60
260.444,403.148,56
301.722,383.098,70
341.821,401.968,60
383.098,383.098,59
418.48,400.789,44
452.681,378.381,23
489.242,398.43,6
526.982,376.022,1
114.202,445.605,3
149.583,465.654,9
187.323,444.426,21
223.884,469.192,23
261.623,447.964,38
301.722,464.475,25
340.641,446.784,40
379.56,468.013,31
417.3,444.426,29
453.861,462.116,7
491.6,439.708,3
151.942,511.65,8
189.682,532.878,6
225.063,510.47,8
263.982,531.699,6
302.901,509.291,11
339.462,531.699,9
377.202,509.291,11
418.48,528.161,6
452.681,505.753,6
