x(um),y(um),z(um)
388.149,88.562,23
433.937,62.291,25
479.871,89.434,32
524.761,64.379,26
571.738,87.346,27
615.584,60.203,25
660.474,87.346,27
706.408,59.159,26
750.254,87.346,24
343.113,168.774,21
389.047,142.675,23
433.937,169.818,27
479.871,141.631,33
524.761,166.686,39
570.694,138.499,40
616.628,160.422,56
662.562,137.455,44
707.452,164.598,38
749.21,139.543,24
797.231,163.554,21
301.355,247.07,18
345.201,222.015,20
390.091,250.202,25
437.069,223.059,29
479.871,248.114,47
526.848,218.883,52
571.738,242.894,70
619.76,214.708,70
665.694,242.894,65
708.496,219.927,43
749.21,244.982,24
798.275,217.839,20
843.165,242.894,17
256.466,327.454,13
300.311,300.311,16
342.069,328.498,34
386.959,301.355,42
430.805,326.41,60
477.783,300.311,62
521.629,327.454,84
570.694,299.267,85
618.716,325.366,79
662.562,298.224,62
708.496,326.41,43
750.254,298.224,28
798.275,324.322,23
843.165,297.18,17
889.099,322.234,14
256.466,379.652,12
301.355,403.662,13
343.113,377.564,32
385.915,405.75,38
430.805,377.564,54
479.871,406.794,64
522.673,381.739,79
571.738,410.97,76
617.672,380.696,65
664.65,405.75,55
709.539,377.564,42
752.341,404.706,29
797.231,375.476,21
843.165,401.575,12
889.099,373.388,12
301.355,456.904,8
347.289,484.046,9
390.091,456.904,17
438.113,483.003,21
483.003,458.992,45
526.848,491.354,50
573.826,465.255,67
620.804,491.354,57
667.782,461.08,54
708.496,483.003,28
752.341,455.86,20
797.231,479.871,8
843.165,454.816,8
347.289,535.2,5
393.223,562.343,5
437.069,535.2,11
483.003,562.343,9
527.892,537.288,27
574.87,563.387,19
620.804,537.288,30
664.65,560.255,17
708.496,536.244,16
754.429,561.299,6
799.319,533.112,5
394.267,615.584,1
438.113,641.683,0
483.003,615.584,2
529.98,640.639,0
575.914,615.584,2
621.848,640.639,1
665.694,614.54,4
711.627,640.639,0
754.429,614.54,1
