x(um),y(um),z(um)
353.555,86.486,17
399.268,61.769,17
444.158,88.912,20
490.091,63.335,16
536.025,87.868,25
580.915,62.291,24
623.717,87.346,32
670.695,60.203,25
714.018,85.78,25
308.966,167.73,20
353.334,140.065,23
399.268,166.686,25
443.636,140.587,26
489.047,167.208,28
534.981,140.065,29
579.871,165.642,32
624.239,140.065,37
669.651,166.686,38
715.062,138.499,33
760.996,163.554,28
265.332,246.736,27
309.7,220.115,29
355.634,246.214,29
400.002,219.071,28
445.414,244.648,30
489.781,219.593,29
534.671,243.604,35
581.649,218.549,27
626.017,244.126,28
670.907,218.027,33
717.052,243.809,29
762.986,216.144,28
807.876,241.199,20
221.365,326.401,27
266.255,299.258,33
311.667,325.879,34
355.513,299.78,29
400.403,324.835,21
445.815,297.17,31
483.919,324.313,65
538.204,291.95,69
581.528,316.483,71
626.418,297.17,39
672.356,323.511,34
717.245,297.412,29
762.657,323.511,23
808.591,293.758,20
855.673,321.01,18
221.278,376.082,28
266.69,401.659,36
312.624,375.038,34
354.382,402.703,26
399.272,373.472,18
446.772,402.703,32
483.31,372.95,66
536.551,405.313,68
581.963,377.648,70
627.375,398.005,40
671.743,370.862,35
716.795,398.721,30
761.685,372.623,26
808.141,398.721,28
853.553,373.145,20
268.596,453.598,29
312.964,479.697,32
356.81,455.686,27
402.222,481.263,24
449.199,454.12,27
493.567,480.219,26
535.325,454.12,36
581.781,479.175,29
627.193,452.032,29
671.56,477.609,33
717.327,452.032,31
763.261,477.609,32
807.629,451.51,25
314.359,531.372,23
356.638,559.559,25
403.094,533.982,25
447.984,560.603,21
493.918,531.894,22
539.33,556.949,29
583.175,530.85,33
628.065,556.949,38
672.433,529.806,39
718.367,557.993,34
764.415,530.328,33
357.413,613.322,17
402.825,640.465,14
449.281,612.278,17
495.737,636.289,20
540.104,610.19,29
586.038,634.723,29
628.84,609.146,36
675.296,634.201,28
718.098,609.668,27
