x(um),y(um),z(um)
354.939,87.87,20
400.949,53.621,21
450.765,93.751,29
490.895,50.162,42
541.403,70.919,62
582.916,37.708,56
634.116,60.54,60
680.472,34.94,36
728.212,62.616,34
317.231,156.021,39
369.814,144.951,35
418.246,183.696,28
463.219,155.329,24
516.495,174.702,50
547.63,126.27,67
599.521,144.951,89
641.726,110.356,88
731.672,115.891,54
689.467,138.724,82
257.728,233.512,48
306.161,210.68,52
349.058,249.426,58
405.792,242.507,50
456.992,261.188,66
504.041,231.437,67
543.478,243.199,85
587.067,207.912,83
636.883,239.047,79
683.24,193.383,78
723.369,227.285,58
773.877,203.761,41
778.028,147.718,35
816.082,241.123,26
206.529,317.923,36
249.426,287.48,59
288.863,317.923,86
340.063,299.934,80
397.49,317.923,78
447.998,298.55,84
494.354,322.766,91
541.403,296.474,91
583.608,320.69,89
626.505,294.398,79
658.332,320.69,53
700.537,279.177,43
740.666,320.69,24
798.785,297.166,26
858.287,315.847,17
207.221,369.814,37
245.966,400.949,63
288.171,369.814,87
337.987,390.571,83
395.414,372.582,80
450.073,392.647,77
495.738,369.814,91
540.019,396.106,87
582.916,371.89,90
625.813,398.182,74
655.564,368.43,50
698.461,411.328,35
741.358,373.274,20
800.169,394.03,23
861.055,373.274,20
252.193,454.916,50
303.393,477.749,54
347.674,444.538,65
397.49,459.76,51
458.376,441.771,54
507.5,463.219,55
542.094,448.689,75
584.3,484.668,73
634.116,454.916,71
679.088,499.889,72
718.526,468.754,49
771.109,486.743,38
813.315,454.916,22
308.928,530.332,35
364.971,554.548,34
406.484,514.419,35
457.684,533.792,31
517.878,515.111,42
548.321,567.002,61
597.445,545.554,79
638.959,580.84,82
687.391,552.473,79
732.364,578.073,56
775.953,545.554,38
353.209,615.435,20
407.176,636.883,21
451.457,595.37,32
492.278,639.651,30
542.094,622.353,53
586.375,654.872,47
635.499,632.04,58
683.24,656.256,34
730.98,630.656,35
